,0,num,name,period,,5,6
0,,1.,Abiþei Ludovic,2000-2004,deputat,,/pls/parlam/structura2015.mp?idm=1&leg=2000&cam=2
1,,2.,Acatrinei Gheorghe,2000-2004,senator,,/pls/parlam/structura2015.mp?idm=2&leg=2000&cam=1
2,,3.,Achim George,1996-2000,senator,,/pls/parlam/structura2015.mp?idm=1001&leg=1996&cam=1
3,,4.,Achimescu Victor-ªtefan,1996-2000,deputat,,/pls/parlam/structura2015.mp?idm=182&leg=1996&cam=2
4,,5.,Achiþei Vasile-Cristian,2016-prezent,deputat,,/pls/parlam/structura2015.mp?idm=2&leg=2016&cam=2
5,,6.,Adam Ioan,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=1&leg=2012&cam=2
6,,7.,Adam Luminiþa-Pachel,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=2&leg=2012&cam=2
7,,8.,Adãscãliþei Constantin,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=3&leg=2012&cam=2
8,,9.,Adnagi Slavoliub,2016-prezent,deputat,,/pls/parlam/structura2015.mp?idm=3&leg=2016&cam=2
9,,10.,Adomnicãi Mirela Elena,2004-2008,deputat,,/pls/parlam/structura2015.mp?idm=299&leg=2004&cam=2
10,,11.,Adomniþei Cristian Mihai,2008-2012,deputat,,/pls/parlam/structura2015.mp?idm=1&leg=2008&cam=2
11,,12.,Aferãriþei Constantin,1996-2000,deputat,,/pls/parlam/structura2015.mp?idm=65&leg=1996&cam=2
12,,13.,Afrãsinei Viorica,2000-2004,deputat,,/pls/parlam/structura2015.mp?idm=2&leg=2000&cam=2
13,,14.,Agrigoroaiei Ionel,2012-2016,senator,,/pls/parlam/structura2015.mp?idm=2&leg=2012&cam=1
14,,15.,Aichimoaie Ionel,1996-2000,senator,,/pls/parlam/structura2015.mp?idm=1164&leg=1996&cam=1
15,,16.,Aileni Vasile-Victor,1990-1992,senator,,/pls/parlam/structura2015.mp?idm=4&leg=1990&cam=1
16,,17.,Albert Álmos,2008-2012,senator,,/pls/parlam/structura2015.mp?idm=1&leg=2008&cam=1
17,,18.,Albu Alexandru,1996-2000,deputat,,/pls/parlam/structura2015.mp?idm=143&leg=1996&cam=2
18,,19.,Albu Gheorghe,2008-2012,deputat,,/pls/parlam/structura2015.mp?idm=2&leg=2008&cam=2
